Date_sampled,pH,Tank_Replicate,n,Shell_length_mm,tin_ID,Tin_Weight_mg,shell_or_tissue,Dry_Sample_Tin_Weight_mg,Dry_Sample_Weight_mg,Ash weight (loss of ignition of tissue tin + dry shell and tissue),AFDW,Notes
10/26/2021,8,C,3,11.69,6C8,0.4153,shell,0.5229,0.1076,,,extras for CI and regressions
10/26/2021,8,C,4,4.59,6C9,0.4158,tissue,0.4165,0.0007,0.422,0.0013,extras for CI and regressions
10/26/2021,8,C,4,4.59,6C10,0.4156,shell,0.4224,0.0068,,,extras for CI and regressions
10/26/2021,8,C,5,6.75,6C11,0.4153,tissue,NA,NA,,,flipped the tray and lost these samples
10/26/2021,8,C,5,6.75,6C12,0.4143,shell,NA,NA,,,flipped the tray and lost these samples
10/26/2021,8,C,6,6.5,5A1,0.4102,tissue,NA,NA,,,flipped the tray and lost these samples
10/26/2021,8,C,6,6.5,5A2,0.4175,shell,NA,NA,,,flipped the tray and lost these samples
10/26/2021,8,C,7,11.55,5A3,0.4187,tissue,NA,NA,,,flipped the tray and lost these samples
10/26/2021,8,C,7,11.55,5A4,0.4165,shell,NA,NA,,,flipped the tray and lost these samples
10/26/2021,8,C,8,11.22,5A5,0.413,tissue,NA,NA,,,flipped the tray and lost these samples
10/26/2021,8,C,8,11.22,5A6,0.41,shell,NA,NA,,,flipped the tray and lost these samples
10/26/2021,8,C,9,7.77,5A7,0.4139,tissue,NA,NA,,,flipped the tray and lost these samples
10/26/2021,8,C,9,7.77,5A8,0.4151,shell,NA,NA,,,flipped the tray and lost these samples
10/26/2021,8,D,1,11.66,5C7,0.4174,tissue,0.4293,0.0119,0.5241,0.0092,extras for CI and regressions
10/26/2021,8,D,1,11.66,5C8,0.42,shell,0.524,0.104,,,extras for CI and regressions
10/26/2021,8,D,2,11.75,5C9,0.4159,tissue,0.4281,0.0122,0.5258,0.0103,extras for CI and regressions
10/26/2021,8,D,2,11.75,5C10,0.4192,shell,0.5272,0.108,,,extras for CI and regressions
10/26/2021,8,D,3,8.84,5C11,0.4217,tissue,0.4259,0.0042,0.4652,0.0039,extras for CI and regressions
10/26/2021,8,D,3,8.84,5C12,0.418,shell,0.4612,0.0432,,,extras for CI and regressions
10/26/2021,8,D,4,8.05,5B1,0.4078,tissue,0.4113,0.0035,0.4459,0.0035,extras for CI and regressions
10/26/2021,8,D,4,8.05,5B2,0.4126,shell,0.4507,0.0381,,,extras for CI and regressions
10/26/2021,8,D,5,7.76,5B3,0.4157,tissue,0.416,0.0003,0.4442,0.0015,no tissue? 
10/26/2021,8,D,5,7.76,5B4,0.4107,shell,0.4404,0.0297,,,no tissue? 
10/26/2021,8,D,6,7.75,5A9,0.4129,tissue,0.4159,0.003,0.4426,0.0031,extras for CI and regressions
10/26/2021,8,D,6,7.75,5A10,0.4147,shell,0.4445,0.0298,,,extras for CI and regressions
10/26/2021,8,D,7,7.02,5A11,0.4154,tissue,0.4175,0.0021,0.4379,0.0027,extras for CI and regressions
10/26/2021,8,D,7,7.02,5A12,0.4135,shell,0.4366,0.0231,,,extras for CI and regressions
10/26/2021,8,D,8,7.13,5C1,0.4113,tissue,0.4134,0.0021,0.4342,0.0023,extras for CI and regressions
10/26/2021,8,D,8,7.13,5C2,0.4116,shell,0.4347,0.0231,,,extras for CI and regressions
10/26/2021,8,D,9,7.52,5C3,0.4214,tissue,0.422,0.0006,0.4307,0.0006,extras for CI and regressions
10/26/2021,8,D,9,7.52,5C4,0.4187,shell,0.428,0.0093,,,extras for CI and regressions
10/26/2021,8,D,10,4.49,5C5,0.4195,tissue,0.4203,0.0008,0.4256,0.0005,extras for CI and regressions
10/26/2021,8,D,10,4.49,5C6,0.4222,shell,0.428,0.0058,,,extras for CI and regressions
10/26/2021,7.5,A,1,7.58,5C3,0.4118,tissue,0.4146,0.0028,0.4378,0.0028,extras for CI and regressions
10/26/2021,7.5,A,1,7.58,5C4,0.4177,shell,0.4437,0.026,,,extras for CI and regressions
10/26/2021,7.5,A,2,10.75,5C5,0.4126,tissue,0.4207,0.0081,0.4963,0.0069,extras for CI and regressions
10/26/2021,7.5,A,2,10.75,5C6,0.4147,shell,0.4972,0.0825,,,extras for CI and regressions
10/26/2021,7.5,A,3,7.09,5C7,0.4112,tissue,0.4126,0.0014,0.434,0.0017,extras for CI and regressions
10/26/2021,7.5,A,3,7.09,5C8,0.41,shell,0.4331,0.0231,,,extras for CI and regressions
10/26/2021,7.5,A,4,6.98,5C9,0.416,tissue,0.4195,0.0035,0.4356,0.0034,extras for CI and regressions
10/26/2021,7.5,A,4,6.98,5C10,0.4171,shell,0.4366,0.0195,,,extras for CI and regressions
10/26/2021,7.5,A,5,11.54,5C11,0.412,tissue,0.4211,0.0091,0.5134,0.0096,extras for CI and regressions
10/26/2021,7.5,A,5,11.54,5C12,0.4143,shell,0.5162,0.1019,,,extras for CI and regressions
10/26/2021,7.5,A,6,6.6,5B5,0.4156,tissue,0.4175,0.0019,0.434,0.0018,extras for CI and regressions
10/26/2021,7.5,A,6,6.6,5B6,0.4142,shell,0.4325,0.0183,,,extras for CI and regressions
10/26/2021,7.5,A,7,6.85,5B7,0.4141,tissue,0.4163,0.0022,0.4344,0.0023,extras for CI and regressions
10/26/2021,7.5,A,7,6.85,5B8,0.412,shell,0.4324,0.0204,,,extras for CI and regressions
10/26/2021,7.5,A,8,6.3,5B9,0.408,tissue,0.4096,0.0016,0.4209,0.0019,extras for CI and regressions
10/26/2021,7.5,A,8,6.3,5B10,0.4203,shell,0.4335,0.0132,,,extras for CI and regressions
10/26/2021,7.5,A,9,6.81,5B11,0.4139,tissue,0.4157,0.0018,0.4351,0.0019,extras for CI and regressions
10/26/2021,7.5,A,9,6.81,5B12,0.4138,shell,0.4351,0.0213,,,extras for CI and regressions
10/26/2021,7.5,A,10,5.6,5C1,0.4113,tissue,0.4139,0.0026,0.4227,0.003,extras for CI and regressions
10/26/2021,7.5,A,10,5.6,5C2,0.4116,shell,0.4234,0.0118,,,extras for CI and regressions
10/26/2021,7.5,B,1,5.92,4A9,0.4177,tissue,0.4195,0.0018,0.4328,0.0013,extras for CI and regressions
10/26/2021,7.5,B,1,5.92,4A10,0.4148,shell,0.4294,0.0146,,,extras for CI and regressions
10/26/2021,7.5,B,2,9.44,4A11,0.4163,tissue,0.4219,0.0056,0.4759,0.0036,extras for CI and regressions
10/26/2021,7.5,B,2,9.44,4A12,0.4135,shell,0.4711,0.0576,,,extras for CI and regressions
10/26/2021,7.5,B,3,5.24,4B1,0.4204,tissue,0.4213,0.0009,0.4292,0.0006,extras for CI and regressions
10/26/2021,7.5,B,3,5.24,4B2,0.412,shell,0.4205,0.0085,,,extras for CI and regressions
10/26/2021,7.5,B,4,6.71,4B3,0.417,tissue,0.4194,0.0024,0.4373,0.0018,extras for CI and regressions
10/26/2021,7.5,B,4,6.71,4B4,0.4121,shell,0.4318,0.0197,,,extras for CI and regressions
10/26/2021,7.5,B,5,6.32,4A1,0.41,tissue,0.4116,0.0016,0.427,0.0012,extras for CI and regressions
10/26/2021,7.5,B,5,6.32,4A2,0.4144,shell,0.431,0.0166,,,extras for CI and regressions
10/26/2021,7.5,B,6,7.19,4A3,0.4109,tissue,0.4137,0.0028,0.4371,0.0013,extras for CI and regressions
10/26/2021,7.5,B,6,7.19,4A4,0.4149,shell,0.4396,0.0247,,,extras for CI and regressions
10/26/2021,7.5,B,7,5.76,4A5,0.4139,tissue,0.4148,0.0009,0.4246,0.0004,extras for CI and regressions
10/26/2021,7.5,B,7,5.76,4A6,0.4183,shell,0.4285,0.0102,,,extras for CI and regressions
10/26/2021,7.5,B,8,4.96,4A7,0.4094,tissue,0.4105,0.0011,0.4182,0.001,extras for CI and regressions
10/26/2021,7.5,B,8,4.96,4A8,0.4095,shell,0.4182,0.0087,,,extras for CI and regressions
10/26/2021,7.5,C,1,7.15,4C3,0.4111,tissue,0.4143,0.0032,0.4368,0.0031,extras for CI and regressions
10/26/2021,7.5,C,1,7.15,4C4,0.416,shell,0.4416,0.0256,,,extras for CI and regressions
10/26/2021,7.5,C,2,7.91,4C5,0.4165,tissue,0.4205,0.004,0.4489,0.0034,extras for CI and regressions
10/26/2021,7.5,C,2,7.91,4C6,0.4084,shell,0.4402,0.0318,,,extras for CI and regressions
10/26/2021,7.5,C,3,7.08,4C7,0.4097,tissue,0.4125,0.0028,0.4323,0.0026,extras for CI and regressions
10/26/2021,7.5,C,3,7.08,4C8,0.4104,shell,0.4328,0.0224,,,extras for CI and regressions
10/26/2021,7.5,C,4,6.06,4C9,0.4119,tissue,0.4138,0.0019,0.4272,0.0021,extras for CI and regressions
10/26/2021,7.5,C,4,6.06,4C10,0.4094,shell,0.4249,0.0155,,,extras for CI and regressions
10/26/2021,7.5,C,5,5.8,4C11,0.4139,tissue,0.4155,0.0016,0.4256,0.0015,extras for CI and regressions
10/26/2021,7.5,C,5,5.8,4C12,0.4114,shell,0.423,0.0116,,,extras for CI and regressions
10/26/2021,7.5,C,6,7.04,4B5,0.4144,tissue,0.4164,0.002,0.4379,0.0031,extras for CI and regressions
10/26/2021,7.5,C,6,7.04,4B6,0.4079,shell,0.4325,0.0246,,,extras for CI and regressions
10/26/2021,7.5,C,7,7.25,4B7,0.4097,tissue,0.4124,0.0027,0.4358,0.0015,extras for CI and regressions
10/26/2021,7.5,C,7,7.25,4B8,0.4144,shell,0.4393,0.0249,,,extras for CI and regressions
10/26/2021,7.5,C,8,7.98,4B9,0.4161,tissue,0.4202,0.0041,0.449,0.0049,extras for CI and regressions
10/26/2021,7.5,C,8,7.98,4B10,0.4153,shell,0.449,0.0337,,,extras for CI and regressions
10/26/2021,7.5,C,9,5.95,4B11,0.4179,tissue,0.4189,0.001,0.4342,0.001,extras for CI and regressions
10/26/2021,7.5,C,9,5.95,4B12,0.4114,shell,0.4277,0.0163,,,extras for CI and regressions
10/26/2021,7.5,C,10,5.97,4C1,0.4151,tissue,0.4172,0.0021,0.4287,0.002,extras for CI and regressions
10/26/2021,7.5,C,10,5.97,4C2,0.4134,shell,0.4269,0.0135,,,extras for CI and regressions
10/26/2021,7.5,D,1,4.6,4A11,0.4208,tissue,0.4219,0.0011,0.432,-0.006,"Shell fell apart, I thought I picked it all out, but unsure"
10/26/2021,7.5,D,1,4.6,4A12,0.4098,shell,0.4139,0.0041,,,"Shell fell apart, I thought I picked it all out, but unsure"
10/26/2021,7.5,D,2,8.55,4B1,0.4201,tissue,0.4244,0.0043,0.6246,-0.1542,extras for CI and regressions
10/26/2021,7.5,D,2,8.55,4B2,0.4096,shell,0.4556,0.046,,,extras for CI and regressions
10/26/2021,7.5,D,3,8.1,4B3,0.4179,tissue,0.4223,0.0044,0.4526,0.0042,extras for CI and regressions
10/26/2021,7.5,D,3,8.1,4B4,0.4114,shell,0.4459,0.0345,,,extras for CI and regressions
10/26/2021,7.5,D,4,5.43,4B5,0.4193,tissue,0.4204,0.0011,0.4297,0.0023,May have lost a chip out of the shell 
10/26/2021,7.5,D,4,5.43,4B6,0.4093,shell,0.4209,0.0116,,,May have lost a chip out of the shell 
10/26/2021,7.5,D,5,8.8,4B7,0.4135,tissue,0.419,0.0055,0.4564,0.0047,extras for CI and regressions
10/26/2021,7.5,D,5,8.8,4B8,0.4107,shell,0.4528,0.0421,,,extras for CI and regressions
10/26/2021,7.5,D,6,7.64,4A1,0.4075,tissue,0.4112,0.0037,0.4402,0.0029,extras for CI and regressions
10/26/2021,7.5,D,6,7.64,4A2,0.4162,shell,0.4481,0.0319,,,extras for CI and regressions
10/26/2021,7.5,D,7,6.17,4A3,0.4124,tissue,0.414,0.0016,0.428,0.0017,extras for CI and regressions
10/26/2021,7.5,D,7,6.17,4A4,0.4135,shell,0.4292,0.0157,,,extras for CI and regressions
10/26/2021,7.5,D,8,6.79,4A5,0.4104,tissue,0.4129,0.0025,0.4345,0.0023,extras for CI and regressions
10/26/2021,7.5,D,8,6.79,4A6,0.4168,shell,0.4407,0.0239,,,extras for CI and regressions
10/26/2021,7.5,D,9,7.98,4A7,0.4113,tissue,0.4149,0.0036,0.4458,0.0037,extras for CI and regressions
10/26/2021,7.5,D,9,7.98,4A8,0.4126,shell,0.4472,0.0346,,,extras for CI and regressions
10/26/2021,7.5,D,10,6.75,4A9,0.4154,tissue,0.4177,0.0023,0.4342,0.0021,extras for CI and regressions
10/26/2021,7.5,D,10,6.75,4A10,0.4102,shell,0.4288,0.0186,,,extras for CI and regressions
10/26/2021,8,A,1,12.61,NA,NA,tissue,NA,0.0131, ,,measurements from scallops used for RR and CR
10/26/2021,8,B,1,8.94,NA,NA,tissue,NA,0.0069,,,measurements from scallops used for RR and CR
10/26/2021,8,C,1,14.07,NA,NA,tissue,NA,0.0194,,,measurements from scallops used for RR and CR
10/26/2021,8,D,1,8.65,NA,NA,tissue,NA,0.0038,,,measurements from scallops used for RR and CR
10/26/2021,8,A,2,14.31,NA,NA,tissue,NA,0.016,,,measurements from scallops used for RR and CR
10/26/2021,8,B,2,11.61,NA,NA,tissue,NA,0.0132,,,measurements from scallops used for RR and CR
10/26/2021,8,C,2,12.53,NA,NA,tissue,NA,0.0143,,,measurements from scallops used for RR and CR
10/26/2021,8,D,2,11.4,NA,NA,tissue,NA,0.01,,,measurements from scallops used for RR and CR
10/26/2021,7.5,A,1,8.9,NA,NA,tissue,NA,0.0043,,,measurements from scallops used for RR and CR
10/26/2021,7.5,B,1,7.03,NA,NA,tissue,NA,0.003,,,measurements from scallops used for RR and CR
10/26/2021,7.5,C,1,7.4,NA,NA,tissue,NA,0.003,,,measurements from scallops used for RR and CR
10/26/2021,7.5,D,1,7.42,NA,NA,tissue,NA,0.0024,,,measurements from scallops used for RR and CR
10/26/2021,7.5,A,2,13.49,NA,NA,tissue,NA,0.0143,,,measurements from scallops used for RR and CR
10/26/2021,7.5,B,2,10.1,NA,NA,tissue,NA,0.0074,,,measurements from scallops used for RR and CR
10/26/2021,7.5,C,2,9.55,NA,NA,tissue,NA,0.0075,,,measurements from scallops used for RR and CR
10/26/2021,7.5,D,2,8.89,NA,NA,tissue,NA,0.0053,,,measurements from scallops used for RR and CR
10/26/2021,7.5,B,3,9.51,NA,NA,tissue,NA,0.0065,,,measurements from scallops used for RR and CR
10/26/2021,7.5,C,3,9.71,NA,NA,tissue,NA,0.0067,,,measurements from scallops used for RR and CR
10/26/2021,8,A,1,12.61,NA,NA,shell,NA,0.1411,,,measurements from scallops used for RR and CR
10/26/2021,8,B,1,8.94,NA,NA,shell,NA,0.0481,,,measurements from scallops used for RR and CR
10/26/2021,8,C,1,14.07,NA,NA,shell,NA,0.18,,,measurements from scallops used for RR and CR
10/26/2021,8,D,1,8.65,NA,NA,shell,NA,0.0439,,,measurements from scallops used for RR and CR
10/26/2021,8,A,2,14.31,NA,NA,shell,NA,0.1724,,,measurements from scallops used for RR and CR
10/26/2021,8,B,2,11.61,NA,NA,shell,NA,0.0846,,,measurements from scallops used for RR and CR
10/26/2021,8,C,2,12.53,NA,NA,shell,NA,0.1329,,,measurements from scallops used for RR and CR
10/26/2021,8,D,2,11.4,NA,NA,shell,NA,0.0948,,,measurements from scallops used for RR and CR
10/26/2021,7.5,A,1,8.9,NA,NA,shell,NA,0.0485,,,measurements from scallops used for RR and CR
10/26/2021,7.5,B,1,7.03,NA,NA,shell,NA,0.0266,,,measurements from scallops used for RR and CR
10/26/2021,7.5,C,1,7.4,NA,NA,shell,NA,0.0272,,,measurements from scallops used for RR and CR
10/26/2021,7.5,D,1,7.42,NA,NA,shell,NA,0.0275,,,measurements from scallops used for RR and CR
10/26/2021,7.5,A,2,13.49,NA,NA,shell,NA,0.1371,,,measurements from scallops used for RR and CR
10/26/2021,7.5,B,2,10.1,NA,NA,shell,NA,0.0689,,,measurements from scallops used for RR and CR
10/26/2021,7.5,C,2,9.55,NA,NA,shell,NA,0.0577,,,measurements from scallops used for RR and CR
10/26/2021,7.5,D,2,8.89,NA,NA,shell,NA,0.0419,,,measurements from scallops used for RR and CR
10/26/2021,7.5,B,3,9.51,NA,NA,shell,NA,0.0581,,,measurements from scallops used for RR and CR
10/26/2021,7.5,C,3,9.71,NA,NA,shell,NA,0.0622,,,measurements from scallops used for RR and CR
